id;lname;fname;additional;dob;is_alive
402;Styron;William;Gemini;1925-06-11;false
403;Salinger;Pierre;Gemini;1925-06-14;false
404;Modell;Art;Cancer;1925-06-23;false
405;Evers;Medgar;Cancer;1925-07-02;false
406;Griffin;Merv;Cancer;1925-07-06;false
407;Bumpers;Dale;Leo;1925-08-12;false
408;Peterson;Oscar;Leo;1925-08-15;false
409;Levy;Leon;Virgo;1925-09-13;false
410;King;B B;Virgo;1925-09-16;false
411;Vidal;Gore;Libra;1925-10-03;false
412;Leonard;Elmore;Libra;1925-10-11;false
413;Bruce;Lenny;Libra;1925-10-13;false
414;Thatcher;Margaret H;Libra;1925-10-13;false
415;Lansbury;Angela;Libra;1925-10-16;true
416;Buchwald;Art;Libra;1925-10-20;false
417;Carson;Johnny;Libra;1925-10-23;false
418;Christopher;Warren M;Scorpio;1925-10-27;false
419;Dunne;Dominick;Scorpio;1925-10-29;false
420;Baker;Howard H Jr;Scorpio;1925-11-15;false
421;Hudson;Rock;Scorpio;1925-11-17;false
422;Kennedy;Robert Francis;Scorpio;1925-11-20;false
423;Sulzberger;Arthur Ochs;Aquarius;1926-02-05;false
424;Baldrige;Letitia;Aquarius;1926-02-09;false
425;Greenspan;Alan;Pisces;1926-03-06;true
426;Lewis;Jerry;Pisces;1926-03-16;false
427;Hefner;Hugh;Aries;1926-04-09;false
428;Elizabeth II;Queen of Great Britain;Taurus;1926-04-21;true
429;Davis;Miles;Gemini;1926-05-26;false
430;Monroe;Marilyn;Gemini;1926-06-01;false
431;Ginsberg;Allen;Gemini;1926-06-03;false
432;Brooks;Mel;Cancer;1926-06-28;true
433;Dingell;John D;Cancer;1926-07-08;false
434;Castro;Fidel;Leo;1926-08-13;false
435;Jiang Zemin;;Leo;1926-08-17;true
436;Berry;Chuck;Libra;1926-10-18;false
437;Sutherland;Joan;Scorpio;1926-11-07;false
438;Paterno;Joe;Sagittarius;1926-12-21;false
439;Kitt;Eartha;Capricorn;1927-01-17;false
440;Price;Leontyne;Aquarius;1927-02-10;true
441;Poitier;Sidney;Pisces;1927-02-20;true
442;Belafonte;Harry;Pisces;1927-03-01;true
443;Bork;Robert H;Pisces;1927-03-01;false
444;Moynihan;Daniel Patrick;Pisces;1927-03-16;false
445;Plimpton;George;Pisces;1927-03-18;false
446;Rostropovich;Mstislav;Aries;1927-03-27;false
447;Benedict XVI;;Aries;1927-04-16;true
448;King;Coretta Scott;Taurus;1927-04-27;false
449;Fosse;Bob;Cancer;1927-06-23;false
450;Simon;Neil;Cancer;1927-07-04;false
451;Dinkins;David N;Cancer;1927-07-10;true
452;Masur;Kurt;Cancer;1927-07-18;false
453;Carter;Rosalynn;Leo;1927-08-18;true
454;Gibson;Althea;Virgo;1927-08-25;false
455;Falk;Peter;Virgo;1927-09-16;false
456;Scott;George C;Libra;1927-10-18;false
457;Cook;Barbara;Scorpio;1927-10-25;false
458;Parsons;Estelle;Scorpio;1927-11-20;true
459;Rostenkowski;Dan;Capricorn;1928-01-02;false
460;Mondale;Walter F;Capricorn;1928-01-05;true
461;Prince;Harold;Aquarius;1928-01-30;false
462;Sharon;Ariel;Pisces;1928-02-26;false
463;Ray;James Earl;Pisces;1928-03-10;false
464;Albee;Edward;Pisces;1928-03-12;false
465;Angelou;Maya;Aries;1928-04-04;false
466;Kennedy;Ethel;Aries;1928-04-11;true
467;Mubarak;Hosni;Taurus;1928-05-04;false
468;Sorensen;Theodore C;Taurus;1928-05-08;false
469;Bacharach;Burt;Taurus;1928-05-12;true
470;Pickens;T Boone Jr;Gemini;1928-05-22;false
471;Clooney;Rosemary;Gemini;1928-05-23;false
472;Kevorkian;Jack;Gemini;1928-05-26;false
473;Westheimer;Ruth;Gemini;1928-06-04;true
474;Sendak;Maurice;Gemini;1928-06-10;false
475;Le Pen;Jean-Marie;Gemini;1928-06-20;true
476;Kubrick;Stanley;Leo;1928-07-26;false
477;Warhol;Andy;Leo;1928-08-06;false
478;Wiesel;Elie;Virgo;1928-09-09;false
479;Chomsky;Noam;Sagittarius;1928-12-07;true
480;Dick;Philip K;Sagittarius;1928-12-16;false
481;Feiffer;Jules;Aquarius;1929-01-26;true
482;Schlesinger;James R;Aquarius;1929-02-15;false
483;Gehry;Frank;Pisces;1929-02-28;true
484;Previn;Andre;Aries;1929-04-06;false
485;Hepburn;Audrey;Taurus;1929-05-04;false
486;Conyers;John Jr;Taurus;1929-05-16;false
487;Sills;Beverly;Gemini;1929-05-25;false
488;Frank;Anne;Gemini;1929-06-12;false
489;Arafat;Yasir;Virgo;1929-08-24;false
490;Walters;Barbara;Libra;1929-09-25;true
491;Clark;Dick;Sagittarius;1929-11-30;false
492;Plummer;Christopher;Sagittarius;1929-12-13;true
493;Safire;William;Sagittarius;1929-12-17;false
494;Disney;Roy E;Capricorn;1930-01-10;false
495;Specter;Arlen;Aquarius;1930-02-12;false
496;Cash;Johnny;Pisces;1930-02-26;false
497;Woodward;Joanne;Pisces;1930-02-27;true
498;Sondheim;Stephen;Aries;1930-03-22;true
499;Baker;James A III;Taurus;1930-04-28;true
500;Summerall;Pat;Taurus;1930-05-10;false
501;Eastwood;Clint;Gemini;1930-05-31;true
502;Perot;Ross;Cancer;1930-06-27;false
503;Eagleburger;Lawrence S;Leo;1930-08-01;false
504;Soros;George;Leo;1930-08-12;true
505;Connery;Sean;Virgo;1930-08-25;true
506;Buffett;Warren E;Virgo;1930-08-30;true
507;Rollins;Sonny;Virgo;1930-09-07;true
508;Charles;Ray;Virgo;1930-09-23;false
509;Assad;Hafez Al-;Libra;1930-10-06;false
510;Pinter;Harold;Libra;1930-10-10;false
511;Mobutu Sese Seko;;Libra;1930-10-14;false
512;Godard;Jean-Luc;Sagittarius;1930-12-03;true
513;Duvall;Robert;Capricorn;1931-01-05;true
514;Doctorow;E L;Capricorn;1931-01-06;false
515;Jones;James Earl;Capricorn;1931-01-17;true
516;Torn;Rip;Aquarius;1931-02-06;false
517;Dean;James;Aquarius;1931-02-08;false
518;Bloom;Claire;Aquarius;1931-02-15;true
519;Morrison;Toni;Aquarius;1931-02-18;false
520;Gorbachev;Mikhail S;Pisces;1931-03-02;true
521;Wolfe;Tom;Pisces;1931-03-02;false
522;Rivlin;Alice M;Pisces;1931-03-04;false
523;Murdoch;Rupert;Pisces;1931-03-11;true
524;Shatner;William;Aries;1931-03-22;true
525;Ellsberg;Daniel;Aries;1931-04-07;true
526;Hamilton;Lee H;Aries;1931-04-20;true
527;Mays;Willie;Taurus;1931-05-06;true
528;Mason;Jackie;Gemini;1931-06-09;true
529;Dukakis;Olympia;Gemini;1931-06-20;true
530;Herman;Jerry;Cancer;1931-07-10;false
531;Philbin;Regis;Virgo;1931-08-25;false
532;Simpson;Alan K;Virgo;1931-09-02;true
533;Le Carre;John;Libra;1931-10-19;true
534;Mantle;Mickey;Libra;1931-10-20;false
